"dropoff_longitude","extra"
"-74.00666809082031","0.5"
"-74.0051040649414","0.5"
"-73.94754791259766","0.5"
"-73.99788665771484","0.5"
"-73.9493408203125","0.5"
"-73.98784637451172","0.5"
"-73.95724487304688","0.5"
"-73.98821258544922","0.5"
"-74.00460052490234","0.5"
"-73.98725891113281","0.5"
"-73.97005462646484","0.5"
"-73.97938537597656","0.5"
"-73.9764175415039","0.5"
"-74.00894927978516","0.5"
"-73.9810562133789","0.5"
"-73.95355987548828","0.5"
"-74.01715087890625","0.5"
"-74.00420379638672","0.5"
"-74.0036849975586","0.5"
"-73.9817886352539","0.5"
